design_name,design_path,loopx_routine,routine_path,routine_category
limbo-transit,designs\limbo-transit.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
merge-fork-balance,designs\merge-fork-balance.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
meta-cluster-design,designs\meta-cluster-design.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
meta-coherence,designs\meta-coherence.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
meta-designer-role,designs\meta-designer-role.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
moc-governance,designs\moc-governance.yaml,verifiers.catalog,LOOPX/routines\verifiers\verifiers_catalog.yaml,governance
persistent-learning-loop,designs\persistent-learning-loop.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
pr-merge-strategy,designs\pr-merge-strategy.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
prd-moc-progress-sync,designs\prd-moc-progress-sync.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
problem-structuring-method,designs\problem-structuring-method.yaml,ops.advanced,LOOPX/routines\ops\ops_advanced.yaml,advanced
reasoningbank-persistent-strategy,designs\reasoningbank-persistent-strategy.yaml,memory.recall,LOOPX/routines\memory\memory_recall.yaml,memory
recovery-tooling,designs\recovery-tooling.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
runner-family-stratification,designs\runner-family-stratification.yaml,meta.list,LOOPX/routines\meta\meta_list.yaml,meta
script-file-over-inline,designs\script-file-over-inline.yaml,isolation.worktree,LOOPX/routines\isolation\isolation_worktree.yaml,isolation
serendipity,designs\serendipity.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
seven-turns-reflection,designs\seven-turns-reflection.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
teach-learn-asymmetry,designs\teach-learn-asymmetry.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
thought-commit-pipeline,designs\thought-commit-pipeline.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
umodel-agent-ready-data,designs\umodel-agent-ready-data.yaml,verifiers.catalog,LOOPX/routines\verifiers\verifiers_catalog.yaml,governance
unified-design-alignment-dag3,designs\unified-design-alignment-dag3.yaml,meta.list,LOOPX/routines\meta\meta_list.yaml,meta
value-machine,designs\value-machine.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
viable-initial-state,designs\viable-initial-state.yaml,causal.kg.engine,LOOPX/routines\kg_l\causal_kg_engine.yaml,causal
wazaa-social-bus,designs\wazaa-social-bus.yaml,verifiers.catalog,LOOPX/routines\verifiers\verifiers_catalog.yaml,governance
